Customer_ID,Age,Gender,Location,Tenure_Months,Contract_Type,Monthly_Charges,Total_Charges
1,25,Male,New York,12,Month-to-Month,79.99,959.88
2,34,Female,California,24,One Year,99.99,2399.76
3,45,Male,Texas,36,Two Year,119.99,4319.64
4,28,Female,Florida,6,Month-to-Month,69.99,419.94
5,52,Male,New York,48,Two Year,139.99,6719.52
6,31,Female,California,18,One Year,89.99,1619.82
7,39,Male,Texas,30,Two Year,129.99,3899.70
8,26,Female,Florida,9,Month-to-Month,74.99,674.91
9,47,Male,New York,42,One Year,109.99,4619.58
10,33,Female,California,21,Month-to-Month,84.99,1784.79
11,29,Male,Texas,15,Month-to-Month,79.99,1199.85
12,41,Female,New York,33,Two Year,124.99,4124.67
13,36,Male,California,27,One Year,94.99,2564.73
14,24,Female,Florida,3,Month-to-Month,64.99,194.97
15,55,Male,Texas,51,Two Year,149.99,7649.49
16,38,Female,New York,29,One Year,104.99,3044.71
17,42,Male,California,35,Two Year,134.99,4724.65
18,27,Female,Texas,8,Month-to-Month,72.99,583.92
19,49,Male,Florida,44,Two Year,144.99,6383.56
20,32,Female,New York,22,One Year,99.99,2199.78
21,35,Male,California,26,One Year,89.99,2339.74
22,46,Female,Texas,39,Two Year,139.99,5459.61
23,30,Male,Florida,11,Month-to-Month,76.99,846.89
24,51,Female,New York,46,Two Year,154.99,7135.54
25,37,Male,California,31,Two Year,129.99,4029.69
26,28,Female,Texas,7,Month-to-Month,69.99,489.93
27,44,Male,Florida,38,Two Year,134.99,5126.62
28,33,Female,New York,25,One Year,109.99,2749.75
29,40,Male,California,32,Two Year,119.99,3839.68
30,26,Female,Texas,5,Month-to-Month,67.99,339.95
31,48,Male,Florida,41,Two Year,149.99,6149.59
32,34,Female,New York,28,One Year,99.99,2799.72
33,43,Male,California,37,Two Year,144.99,5362.63
34,29,Female,Texas,10,Month-to-Month,74.99,749.90
35,53,Male,New York,49,Two Year,159.99,7839.51
36,31,Female,California,19,One Year,84.99,1614.81
37,39,Male,Texas,34,Two Year,124.99,4249.66
38,27,Female,Florida,4,Month-to-Month,66.99,267.96
39,50,Male,New York,45,Two Year,139.99,6299.55
40,35,Female,California,30,One Year,114.99,3449.70
41,41,Male,Texas,36,Two Year,129.99,4679.64
42,25,Female,Florida,2,Month-to-Month,59.99,119.98
43,54,Male,New York,52,Two Year,164.99,8599.48
44,32,Female,California,23,One Year,94.99,2184.77
45,38,Male,Texas,29,Two Year,119.99,3479.71
46,30,Female,Florida,12,Month-to-Month,79.99,959.88
47,47,Male,New York,43,One Year,134.99,5804.57
48,36,Female,California,27,One Year,104.99,2834.73
49,42,Male,Texas,38,Two Year,139.99,5319.62
50,28,Female,Florida,9,Month-to-Month,72.99,656.91
