Customer_ID,Event_Type,Event_Date,Duration_Minutes,Event_Channel
1,Login,2023-01-15,30,Web
1,Support_Call,2023-02-10,45,Phone
1,App_Usage,2023-03-05,120,Mobile
2,App_Usage,2023-01-20,150,Mobile
2,Login,2023-02-20,25,Web
2,Support_Chat,2023-03-15,20,Web
3,Support_Chat,2023-01-10,15,Web
3,App_Usage,2023-02-10,180,Mobile
3,Login,2023-03-10,35,Web
4,Login,2023-01-25,20,Web
4,Support_Call,2023-02-28,30,Phone
5,Support_Call,2023-01-05,60,Phone
5,App_Usage,2023-02-05,200,Mobile
5,Login,2023-03-05,40,Web
6,Login,2023-01-30,35,Web
6,App_Usage,2023-02-28,90,Mobile
7,Support_Chat,2023-01-12,10,Web
7,App_Usage,2023-02-12,160,Mobile
8,App_Usage,2023-01-18,80,Mobile
8,Login,2023-02-18,28,Web
9,Login,2023-01-08,40,Web
9,Support_Call,2023-02-08,50,Phone
10,Support_Call,2023-01-22,35,Phone
10,App_Usage,2023-02-22,110,Mobile
11,Login,2023-01-14,32,Web
11,Support_Chat,2023-02-14,12,Web
12,App_Usage,2023-01-19,140,Mobile
12,Login,2023-02-19,38,Web
13,Support_Chat,2023-01-11,18,Web
13,App_Usage,2023-02-11,130,Mobile
14,Login,2023-01-26,22,Web
15,Support_Call,2023-01-03,55,Phone
15,App_Usage,2023-02-03,190,Mobile
16,Login,2023-01-16,42,Web
16,Support_Chat,2023-02-16,25,Web
17,App_Usage,2023-01-09,170,Mobile
17,Login,2023-02-09,45,Web
18,Support_Call,2023-01-23,40,Phone
19,Login,2023-01-07,48,Web
19,App_Usage,2023-02-07,155,Mobile
20,Support_Chat,2023-01-21,22,Web
20,App_Usage,2023-02-21,125,Mobile
21,Login,2023-01-13,36,Web
21,Support_Call,2023-02-13,45,Phone
22,App_Usage,2023-01-17,165,Mobile
22,Login,2023-02-17,41,Web
23,Support_Chat,2023-01-24,16,Web
24,Login,2023-01-06,50,Web
24,App_Usage,2023-02-06,175,Mobile
25,Support_Call,2023-01-04,52,Phone
25,App_Usage,2023-02-04,145,Mobile
26,Login,2023-01-27,26,Web
27,App_Usage,2023-01-02,185,Mobile
27,Login,2023-02-02,44,Web
28,Support_Chat,2023-01-20,28,Web
28,App_Usage,2023-02-20,135,Mobile
29,Login,2023-01-12,39,Web
29,Support_Call,2023-02-12,48,Phone
30,App_Usage,2023-01-25,95,Mobile
31,Login,2023-01-08,46,Web
31,App_Usage,2023-02-08,195,Mobile
32,Support_Chat,2023-01-18,24,Web
32,App_Usage,2023-02-18,115,Mobile
33,Login,2023-01-10,43,Web
33,Support_Call,2023-02-10,55,Phone
34,App_Usage,2023-01-22,105,Mobile
35,Login,2023-01-05,52,Web
35,App_Usage,2023-02-05,205,Mobile
36,Support_Call,2023-01-28,38,Phone
37,App_Usage,2023-01-14,160,Mobile
37,Login,2023-02-14,40,Web
38,Support_Chat,2023-01-26,14,Web
39,Login,2023-01-09,47,Web
39,App_Usage,2023-02-09,180,Mobile
40,Support_Call,2023-01-16,42,Phone
40,App_Usage,2023-02-16,150,Mobile
41,Login,2023-01-11,37,Web
41,Support_Chat,2023-02-11,26,Web
42,App_Usage,2023-01-27,85,Mobile
43,Login,2023-01-04,54,Web
43,App_Usage,2023-02-04,210,Mobile
44,Support_Chat,2023-01-19,30,Web
44,App_Usage,2023-02-19,120,Mobile
45,Login,2023-01-13,41,Web
45,Support_Call,2023-02-13,47,Phone
46,App_Usage,2023-01-24,100,Mobile
47,Login,2023-01-07,49,Web
47,App_Usage,2023-02-07,190,Mobile
48,Support_Call,2023-01-17,44,Phone
48,App_Usage,2023-02-17,140,Mobile
49,Login,2023-01-03,45,Web
49,Support_Chat,2023-02-03,32,Web
50,App_Usage,2023-01-21,110,Mobile
