Customer_ID,Month,Data_Usage_GB,Call_Minutes,Messages_Sent,Streaming_Hours
1,2023-01,50,200,150,20
1,2023-02,45,180,140,18
1,2023-03,52,210,160,22
2,2023-01,80,300,200,35
2,2023-02,85,320,210,38
2,2023-03,82,310,205,36
3,2023-01,120,400,300,50
3,2023-02,125,420,310,52
3,2023-03,118,390,295,48
4,2023-01,30,150,100,12
4,2023-02,28,140,95,10
5,2023-01,150,500,400,65
5,2023-02,155,520,410,68
5,2023-03,148,480,390,62
6,2023-01,60,250,180,25
6,2023-02,58,240,175,23
7,2023-01,100,350,250,40
7,2023-02,105,360,260,42
8,2023-01,40,170,120,15
8,2023-02,42,175,125,16
9,2023-01,130,450,350,55
9,2023-02,135,460,360,57
10,2023-01,70,280,190,28
10,2023-02,68,270,185,26
11,2023-01,55,220,155,21
11,2023-02,53,210,150,19
12,2023-01,110,380,280,45
12,2023-02,115,390,290,47
13,2023-01,75,290,210,30
13,2023-02,73,285,205,28
14,2023-01,25,120,80,8
15,2023-01,160,550,450,70
15,2023-02,165,560,460,72
16,2023-01,85,320,230,32
16,2023-02,83,315,225,30
17,2023-01,140,480,380,58
17,2023-02,145,490,390,60
18,2023-01,35,160,110,13
19,2023-01,155,530,430,66
19,2023-02,158,540,440,68
20,2023-01,65,260,185,26
20,2023-02,63,255,180,24
21,2023-01,90,330,240,35
21,2023-02,88,325,235,33
22,2023-01,135,470,370,56
22,2023-02,138,480,380,58
23,2023-01,45,190,130,17
24,2023-01,170,580,480,75
24,2023-02,175,590,490,77
25,2023-01,125,430,340,53
25,2023-02,128,440,350,55
26,2023-01,32,155,105,11
27,2023-01,145,500,400,61
27,2023-02,148,510,410,63
28,2023-01,95,340,250,37
28,2023-02,93,335,245,35
29,2023-01,115,400,310,48
29,2023-02,118,410,320,50
30,2023-01,28,135,90,9
31,2023-01,165,570,470,73
31,2023-02,168,580,480,75
32,2023-01,78,300,215,31
32,2023-02,76,295,210,29
33,2023-01,150,520,420,64
33,2023-02,153,530,430,66
34,2023-01,38,165,115,14
35,2023-01,175,600,500,78
35,2023-02,178,610,510,80
36,2023-01,72,275,195,27
37,2023-01,130,450,360,54
37,2023-02,133,460,370,56
38,2023-01,30,145,100,10
39,2023-01,140,490,390,59
39,2023-02,143,500,400,61
40,2023-01,105,370,270,43
40,2023-02,103,365,265,41
41,2023-01,120,410,320,49
41,2023-02,123,420,330,51
42,2023-01,22,110,75,7
43,2023-01,180,620,520,82
43,2023-02,183,630,530,84
44,2023-01,88,310,220,34
44,2023-02,86,305,215,32
45,2023-01,110,380,290,46
45,2023-02,113,390,300,48
46,2023-01,48,200,140,18
47,2023-01,155,540,440,67
47,2023-02,158,550,450,69
48,2023-01,82,305,225,33
48,2023-02,80,300,220,31
49,2023-01,138,475,375,57
49,2023-02,141,485,385,59
50,2023-01,42,180,125,16
